District,Area_Type,Road_Facility,School_Distance_km,Hospital_Distance_km,Bus_Stand_Distance_km,Airport_Distance_km,Price_per_sqft
Cuddalore,Village,No,1.95,3.61,5.11,45.49,439.9
Thanjavur,Rural,Yes,4.57,10.74,7.21,31.58,655.4
Tirunelveli,Rural,Yes,3.62,5.93,4.3,4.26,641.8
Madurai,Rural,Yes,3.39,10.99,5.58,9.17,789.3
Thanjavur,Rural,Yes,5.77,14.97,6.04,35.64,592.1
Tirunelveli,Urban,Yes,7.17,7.46,6.06,6.04,884.6
Kanchipuram,Urban,Yes,6.08,7.58,4.36,24.83,1369.8
Namakkal,Village,Yes,6.02,8.53,5.76,30.35,467.1
Karur,Village,Yes,2.35,6.41,2.37,31.13,455.1
Thanjavur,Urban,Yes,2.63,10.92,4.78,6.01,838.6
Erode,Village,Yes,1.61,8.69,4.89,21.78,488.4
Cuddalore,Village,No,4.56,1.79,7.88,42.11,383.4
Tirunelveli,Village,No,5.24,8.91,3.25,3.68,403
Dindigul,Village,Yes,3.4,6.03,4.35,46.07,462.3
Tirunelveli,Urban,Yes,4.58,3.45,3.67,7.9,894.6
Thoothukudi,Rural,Yes,9.16,5.5,4.69,31.98,613.1
Coimbatore,Rural,Yes,9.61,2.32,3.38,5.18,1023.8
Vellore,Rural,Yes,0.76,11.27,1.76,45,665.3
Cuddalore,Urban,Yes,4.77,8.52,0.62,39,833.4
Coimbatore,Rural,Yes,4.07,8.44,1.33,9.91,1052.5
Tirunelveli,Village,Yes,2.78,9.7,3.33,2.24,522
Coimbatore,Village,Yes,5.56,3.88,1.65,25.77,743.3
Trichy,Urban,Yes,8.89,8.4,5.79,40.46,979.3
Cuddalore,Rural,No,9.63,14.17,1.21,20.91,568.1
Coimbatore,Urban,Yes,2.16,0.5,1.53,29.57,1347.2
Coimbatore,Village,No,3.48,3.97,3.1,29.92,625.7
Salem,Rural,Yes,5.57,6.6,2.43,47.47,755.3
Namakkal,Urban,No,4.93,13.43,6.42,21.84,599.7
Chennai,Urban,Yes,6.37,3.94,1.2,41.91,1568.1
Dindigul,Rural,Yes,2.8,0.37,7.32,6.77,655.6
Thoothukudi,Urban,Yes,6.55,12.46,1.73,1.54,925
Karur,Village,No,6.01,9.05,5.35,9.59,413
Chennai,Rural,Yes,5.24,0.8,1.41,37.16,1283.8
Erode,Rural,Yes,3.95,4.4,2.91,36.23,732.3
Vellore,Rural,Yes,6.67,14.06,5.89,11.53,696.3
Kanchipuram,Urban,Yes,0.61,7.5,4.82,17.38,1380.1
Coimbatore,Urban,Yes,7.31,7.48,5.54,22.31,1223.3
Madurai,Village,Yes,6.98,4.15,4.76,18.69,548.6
Karur,Village,Yes,9.51,6.75,1.56,27.55,432.7
Madurai,Rural,No,6.62,10.41,6.81,13.23,587.3
Namakkal,Urban,No,9.45,0.69,5.67,46.34,685.8
Dindigul,Rural,No,0.44,10.49,2.45,46.3,526.6
Karur,Village,Yes,8.63,12.68,2.62,41.62,401.8
Cuddalore,Rural,Yes,1.29,1.25,5.6,17.65,672
Tirunelveli,Urban,Yes,5.44,11.88,2.62,31.67,778.3
Thanjavur,Rural,Yes,0.34,13.06,0.27,43.86,614.2
Coimbatore,Village,Yes,9.98,5.33,6.16,20.69,694.8
Namakkal,Rural,No,9.84,11.55,3.4,21.65,480.8
Chennai,Urban,Yes,3.61,4.38,2.44,12.45,1666.9
Chennai,Village,Yes,1.18,5.94,1.08,47.86,963.6
Thanjavur,Urban,Yes,9.83,13.27,4.85,45.28,752.2
Thoothukudi,Rural,Yes,4.08,12.58,1.92,41.7,633.8
Dindigul,Urban,Yes,0.46,14.36,6.63,40.24,742.8
Kanchipuram,Urban,Yes,6.01,7.92,2.16,26.25,1431
Cuddalore,Village,No,4.69,9.38,6.01,2.71,444.9
Cuddalore,Village,Yes,3.97,4.17,3.87,3.17,571.3
Namakkal,Urban,Yes,9.32,11.05,2.32,13.38,743.7
Vellore,Rural,Yes,5.37,14.44,0.96,44.83,734
Chennai,Urban,No,5.21,13.61,4.61,33.44,1253.9
Karur,Village,Yes,5.26,13.04,2.04,8.71,504.1
Thoothukudi,Urban,Yes,9.31,1.68,5.62,10.27,838.7
Karur,Village,Yes,8.8,0.18,6.58,12.2,482.3
Kanchipuram,Urban,Yes,7.59,3.95,1.63,5.12,1444.1
Chennai,Rural,Yes,3.83,0.24,6.57,7.29,1260.3
Cuddalore,Urban,Yes,8.42,5.94,1.52,37.93,834.7
Salem,Urban,Yes,9.48,2.58,6.19,35.72,969.8
Chennai,Urban,Yes,8.54,14.85,5.44,22.85,1595
Madurai,Rural,Yes,0.75,12.34,3.04,41.12,759.5
Dindigul,Urban,Yes,4.74,14.17,0.91,42.86,774
Tirunelveli,Village,Yes,8.42,11.62,1.92,7.44,517.7
Chennai,Village,Yes,7.34,13.65,6.87,48.26,868
Thoothukudi,Rural,Yes,3.28,10.89,5.99,10.82,696.1
Vellore,Urban,No,4.78,14.53,1.57,43.56,726.4
Vellore,Village,No,7.63,9.43,1.14,2.59,511.9
Dindigul,Rural,Yes,4.87,1.85,1.09,34.59,683.9
Thoothukudi,Urban,Yes,0.74,8.77,2.23,40.08,861.5
Thanjavur,Urban,Yes,6.84,5.99,7.8,36.37,762.3
Thanjavur,Village,No,9.09,10.89,6.02,8.15,407.4
Thoothukudi,Rural,Yes,4.88,3.23,2.83,39.01,649.1
Namakkal,Urban,Yes,8.84,1.33,6.61,18.53,759.6
Coimbatore,Village,Yes,6.96,12.34,0.43,33.85,760.5
Karur,Urban,No,5.99,9.29,4.94,15.64,674.6
Vellore,Village,Yes,7.86,9.22,3.93,33.38,490.8
Salem,Rural,Yes,4.86,0.71,1.4,22.49,821.2
Trichy,Rural,Yes,4.84,9.27,2.7,24.04,836.5
Vellore,Village,Yes,0.53,2.51,0.26,33.01,596.4
Vellore,Village,Yes,2.08,10.24,0.67,2.5,572
Tirunelveli,Rural,No,7.3,11.17,3.46,17.95,520.2
Cuddalore,Village,Yes,8.68,8.72,3.57,36.54,482
Salem,Village,No,4.28,4.22,4.78,45.71,436.2
Madurai,Rural,Yes,7.36,2.06,5.76,45.54,765
Dindigul,Urban,No,1.89,12.83,3.99,13.11,724.1
Thanjavur,Rural,Yes,3.66,8.93,1.39,20.16,622.1
Coimbatore,Village,Yes,5.93,9.02,3.23,12.61,725
Karur,Village,Yes,3.38,6.79,5.39,8.14,449
Salem,Rural,No,2.6,5.45,3.1,30.67,647.9
Erode,Rural,Yes,7.08,6.75,6.93,28.35,643.8
Thanjavur,Urban,No,1.32,3.54,0.51,32.36,695.8
Trichy,Urban,Yes,1.12,8.81,5.54,20.47,1045.6
Vellore,Rural,Yes,3.3,14.6,4.68,13.46,699.9
Coimbatore,Urban,Yes,1.34,2.08,1.23,47.05,1348.2
Tirunelveli,Urban,Yes,7.34,2.43,1.95,48.2,806.5
Coimbatore,Rural,No,3.81,0.36,2.03,41.71,819.3
Vellore,Village,Yes,7.98,13.79,4.84,47.1,500.7
Erode,Rural,Yes,3.55,2.47,4.88,16.59,685.9
Thoothukudi,Village,Yes,1,4.4,0.96,32.88,503.6
Cuddalore,Village,Yes,9.02,13.18,2.61,43.58,475.7
Vellore,Urban,Yes,3.35,9.49,4.92,28.61,964.5
Namakkal,Rural,Yes,5.5,6.72,0.22,29.77,679.8
Cuddalore,Rural,Yes,5.05,8.18,7.62,42.51,671.8
Erode,Village,Yes,1.58,7.95,2.04,24.36,504.2
Tirunelveli,Village,Yes,9.56,0.37,1.65,1.37,570.7
Erode,Village,Yes,9.28,1,7.48,18.23,552.6
Cuddalore,Rural,Yes,2.92,4.68,6.44,27.42,635.6
Dindigul,Rural,Yes,2.8,6.26,1.06,9.88,662.7
Namakkal,Urban,Yes,7.12,1.69,4.58,13.57,773.6
Salem,Rural,No,5.55,0.75,5.1,47.62,645.6
Trichy,Village,No,2.36,3.26,4.93,21.14,557.4
Dindigul,Village,Yes,2.45,11.73,2.27,41.31,428.7
Tirunelveli,Rural,Yes,6.28,6.83,4.73,9.23,658.7
Namakkal,Village,Yes,1.05,0.45,5.17,30.75,467.8
Karur,Urban,Yes,5.99,7.5,7.9,7.69,792.2
Coimbatore,Rural,Yes,7.2,10.42,7.93,7.29,963.2
Salem,Rural,Yes,2.81,1.28,0.78,44.82,800.3
Thoothukudi,Urban,Yes,3.61,1.13,4.2,4.31,914.8
Namakkal,Urban,Yes,8.81,9.8,4.31,16.89,758.8
Trichy,Rural,No,6.65,8.41,5.87,23.8,639.6
Trichy,Rural,No,1.84,10.38,1.69,27.26,687.6
Cuddalore,Rural,Yes,3.54,10.01,6.38,46.43,605
Tirunelveli,Urban,Yes,9.93,13.91,4.37,42.26,747.2
Salem,Rural,Yes,7.58,2,6.63,39.32,738.9
Thanjavur,Urban,Yes,2.7,5.47,0.79,46.91,900.9
Chennai,Urban,Yes,4.53,9.05,4.17,46.05,1632.1
Kanchipuram,Village,No,2.16,13.97,1.02,41.06,685.5
Cuddalore,Village,No,8.08,11.87,2.51,4.97,420.4
Madurai,Urban,Yes,3.53,14.64,5.16,41.3,996.7
Thanjavur,Village,No,4.92,9.13,6.14,9.57,459.3
Madurai,Urban,Yes,3.74,1.12,0.3,7.62,1079.9
Thanjavur,Rural,No,4.38,4.75,4.1,22.54,593
Kanchipuram,Rural,Yes,6.23,9.79,1.3,4.01,1081.9
Coimbatore,Rural,Yes,9.95,0.96,5.59,49.2,910.3
Thoothukudi,Urban,Yes,3.1,1.61,5.57,4.05,882.9
Salem,Village,No,6.19,4.66,5.03,26.83,440.9
Coimbatore,Urban,No,4.55,3,3.01,21.29,1092.4
Tirunelveli,Rural,Yes,0.21,6.3,3.9,1.94,707.1
Erode,Village,Yes,5.4,3.31,0.2,12.82,542.9
Erode,Village,No,4.93,1.74,4.43,23.26,445.7
Tirunelveli,Urban,Yes,8.66,3.73,5.25,40.72,843.5
Salem,Village,Yes,9.57,2.08,0.91,33.28,558
Chennai,Village,Yes,2.87,13.96,2.1,39.28,880.1
Karur,Rural,Yes,4.56,3.48,7.13,23.08,579.3
Madurai,Urban,No,4.49,0.81,0.4,37.56,858
Thanjavur,Village,Yes,0.45,7.68,3.16,23.64,493
Karur,Village,No,7.86,5.39,3.36,27.93,376.8
Vellore,Urban,Yes,0.91,14.52,2.43,38.69,959.7
Thoothukudi,Urban,Yes,1.3,9.26,6.22,32.55,843.4
Tirunelveli,Urban,No,8.01,4.46,7.84,30.49,696.8
Kanchipuram,Rural,Yes,1.65,0.75,0.98,30.33,1157.3
Thoothukudi,Urban,Yes,3.95,2.54,2.26,46.49,841.6
Madurai,Village,Yes,2.93,12.26,6.9,42.48,520.8
Kanchipuram,Urban,Yes,4.66,12.65,5.86,39.05,1327.2
Karur,Urban,Yes,2.77,8.14,5.85,6.29,776
Kanchipuram,Urban,No,4.94,2.35,2.8,21.26,1173.7
Thanjavur,Rural,Yes,1.15,2.36,0.84,29.28,674.1
Erode,Urban,Yes,0.19,3.78,5.84,49.6,857.5
Madurai,Rural,No,2.12,8.37,5.89,31.18,682.5
Coimbatore,Urban,Yes,5.59,0.18,6.11,2.73,1289.5
Cuddalore,Urban,No,3.74,4.97,1.28,15.97,790.5
Madurai,Village,Yes,4.54,10.86,7.1,30.06,587.9
Trichy,Rural,Yes,0.13,9.33,2.91,39.92,771.7
Chennai,Rural,Yes,6.46,1.07,4.68,28.51,1278.4
Vellore,Rural,Yes,8.07,4.12,6.62,25.41,740.9
Madurai,Urban,Yes,7.87,10.64,6.33,26.35,966.3
Thanjavur,Urban,Yes,4.4,1.42,1.84,30.31,899.1
Kanchipuram,Village,No,6.46,6.38,5.13,39.5,694.2
Kanchipuram,Rural,No,3.9,8.62,4.74,10.04,902.6
Dindigul,Urban,Yes,0.34,12.49,2.26,26.39,867.8
Madurai,Village,Yes,4.35,13.1,6.75,10.12,526.9
Erode,Rural,Yes,1.42,1.3,5.85,25.33,732.9
Vellore,Rural,Yes,1.67,9.19,1.17,37.82,742.2
Thoothukudi,Village,Yes,0.66,4.3,2.17,13.1,530.8
Cuddalore,Urban,Yes,7.62,6.8,6.24,4.2,898.5
Salem,Urban,Yes,9.07,2.17,4.31,21.14,960.2
Trichy,Village,Yes,6.67,14.45,4.53,46.9,555.1
Dindigul,Rural,Yes,7.34,14.72,2.13,33.05,624.3
Erode,Rural,Yes,9.72,9.17,2.86,6.59,659.5
Erode,Urban,Yes,8.52,8.46,4.23,6.62,883.8
Namakkal,Rural,Yes,7.11,8.2,0.75,23.46,632.7
Dindigul,Urban,No,8.51,10.07,3.75,21.18,681.3
Tirunelveli,Rural,Yes,5.17,12.12,3.73,3.55,690.2
Chennai,Urban,Yes,1.73,5.02,6.08,26.45,1611.1
Vellore,Village,No,8.72,3.66,3.66,49.26,388.3
Chennai,Urban,Yes,4.69,13.65,4.36,25.39,1618.5
Tirunelveli,Rural,No,3.87,11.66,7.72,10.98,540.1
Vellore,Urban,Yes,5.82,9.56,6.4,20.4,958.1
Cuddalore,Rural,Yes,6.99,11.92,2.6,43,609.1
Karur,Urban,No,1.49,3.11,1.56,44.81,719.6
Karur,Urban,Yes,9.68,12.87,1.03,37.25,792.4
Chennai,Rural,No,6.71,9.56,1.41,44.21,1021.8
Karur,Urban,Yes,5.64,7.96,5.78,44.62,744.1
Cuddalore,Rural,Yes,8.6,12.3,4.37,35.8,667.8
Thoothukudi,Rural,No,4.65,5.43,4,41.58,549.3
Cuddalore,Urban,Yes,8.28,1.6,2,7.96,854.3
Madurai,Rural,Yes,6.55,9.35,2.88,42.23,765.6
Cuddalore,Village,Yes,1.35,10.18,2.67,34.63,477
Kanchipuram,Urban,No,2.35,12.57,2.31,32.5,1149
Dindigul,Rural,Yes,2.21,0.59,2.5,33,684.8
Salem,Village,Yes,7.91,10.01,2.16,45.45,501
Karur,Rural,Yes,4.53,6.96,6.93,27.79,600.9
Madurai,Village,Yes,4.28,0.73,5.95,45.99,606.4
Trichy,Village,Yes,9.12,11.33,6.46,1.88,581.7
Cuddalore,Rural,Yes,8.31,4.29,6.99,6.52,712.5
Erode,Rural,Yes,2.49,0.28,3.8,15.76,708.2
Erode,Urban,Yes,7.46,0.82,7.23,42.76,915.5
Thanjavur,Rural,No,1.93,1.28,1.99,39.93,592.3
Namakkal,Rural,No,8.57,7.87,0.6,41.74,550.1
Namakkal,Urban,Yes,9.11,10.07,6.65,44.07,698.3
Vellore,Rural,Yes,3.24,6.58,6.21,30.49,663.4
Salem,Rural,Yes,6.35,8.92,5.65,12.63,722.9
Namakkal,Urban,Yes,4.93,9.82,7.61,30.43,813.4
Thoothukudi,Rural,Yes,0.8,3.89,2.96,24.15,726.1
Karur,Urban,Yes,9.72,5.04,3.91,10.61,772.3
Thanjavur,Rural,Yes,5.42,12.83,0.49,41.83,621.9
Namakkal,Urban,Yes,4.44,3.36,3.23,3.18,815.3
Thoothukudi,Village,Yes,8.2,8.02,7.05,29.16,480.3
Thanjavur,Rural,Yes,4.56,13.95,1.41,20.1,600
Namakkal,Village,Yes,2.66,10.15,2.44,36.2,518.4
Dindigul,Rural,No,0.12,10.79,6.65,2.99,584.6
Coimbatore,Urban,Yes,8.02,9.97,0.83,30.22,1317.1
Salem,Village,Yes,3.28,11.27,3.36,32.66,517
Coimbatore,Village,Yes,5.07,2.17,1.01,8.56,816
Salem,Rural,Yes,5.35,12.45,7.93,41.18,722.7
Cuddalore,Rural,Yes,0.94,6.05,7.29,40.59,619.6
Kanchipuram,Rural,No,0.77,5.87,6.83,20.79,889.2
Tirunelveli,Rural,No,5.94,3.47,3.14,23.06,529.9
Kanchipuram,Village,Yes,8.91,0.28,3.02,2.34,824.8
Chennai,Rural,Yes,1.74,9.72,0.45,38.33,1244.2
Salem,Urban,Yes,3.85,0.2,3.15,39.79,962.7
Chennai,Urban,No,5.36,12.64,4.68,28.42,1260.5
Salem,Urban,No,2.36,14.66,4.3,7.65,811.6
Karur,Urban,No,4.2,5.99,2.57,8.21,665.5
Cuddalore,Urban,No,3.77,5.68,3.84,22.76,764.5
Namakkal,Rural,Yes,6.11,2.36,0.34,48.57,604.2
Salem,Village,Yes,5.37,2.61,2.05,42.09,605.8
Dindigul,Village,Yes,1.85,7.66,5.45,12.52,466.2
Tirunelveli,Rural,Yes,5.87,15,1.29,41.02,668.5
Madurai,Village,Yes,3.07,4.95,6.36,23.61,644
Erode,Urban,No,7.14,13.61,1.15,30.06,764.4
Karur,Urban,Yes,0.48,11.21,4.44,3.83,781.1
Salem,Rural,Yes,9.7,14.24,4.15,5.59,741.9
Trichy,Rural,Yes,2.93,3.13,6.12,19.94,855.6
Thoothukudi,Urban,Yes,8.96,6.89,3.6,30.5,873.5
Salem,Village,Yes,9.96,0.99,0.13,32.37,596.2
Vellore,Urban,No,4.54,7.71,5.05,46.39,772.1
Coimbatore,Rural,Yes,7.25,10.42,1.16,15.67,1033
Namakkal,Village,Yes,2.19,14.37,0.17,49.89,430.8
Dindigul,Village,Yes,0.24,11.09,6.69,37.28,470.6
Thanjavur,Village,Yes,6.62,11.52,6.78,31.07,417
Tirunelveli,Rural,Yes,4.13,6.17,0.62,18.09,710.1
Cuddalore,Village,No,0.82,14.33,4.23,15.68,474.6
Chennai,Rural,Yes,7.1,0.85,0.68,20.74,1225.4
Kanchipuram,Urban,Yes,8.05,13.95,3.3,45.4,1365.2
Tirunelveli,Rural,Yes,6.44,14.69,4.87,18.53,603.6
Thoothukudi,Urban,No,5.08,6.8,4.73,31.61,719.9
Salem,Rural,Yes,7.17,12.36,6.45,28.07,712.9
Salem,Urban,Yes,2.79,7.5,2.35,7.56,973.5
Kanchipuram,Urban,Yes,3.24,0.1,4.14,3.3,1407.1
Trichy,Rural,Yes,8.41,0.16,2.05,37.3,791.3
Namakkal,Urban,Yes,2.78,12.66,2.58,39.66,824
Madurai,Rural,No,3.84,14.46,0.81,34.66,605.7
Thanjavur,Urban,Yes,7.07,0.17,1.42,35.94,814.2
Erode,Village,Yes,9.51,10.57,2.45,6.16,573.1
Madurai,Rural,Yes,3.66,14.36,4.05,22.2,739.1
Coimbatore,Rural,Yes,0.13,12.9,1.57,28.05,950.8
Kanchipuram,Rural,Yes,8.71,10.98,5.22,40.02,1051
Thanjavur,Urban,Yes,9.31,1.97,5.92,48.75,856.4
Erode,Rural,Yes,5.83,1.37,0.44,33.68,674.5
Trichy,Village,Yes,1.09,10.35,2.01,45.64,640.1
Trichy,Rural,No,0.41,11.07,2.71,45.4,711.4
Vellore,Rural,No,0.51,6.02,6.12,23.29,642.8
Kanchipuram,Urban,Yes,8.59,8.67,0.7,19.75,1421.4
Coimbatore,Urban,Yes,3.39,5.19,5.94,11.94,1334
Cuddalore,Rural,Yes,6.66,8.27,7.05,34.1,599.9
Karur,Village,Yes,2.98,3.19,1.3,45.07,525.9
Thoothukudi,Village,Yes,4.79,0.99,5.41,29.53,481.6
Thoothukudi,Urban,Yes,6.54,9.7,4.53,39.07,837.9
Karur,Rural,Yes,8.97,12.72,2.59,14.54,589.3
Erode,Rural,No,1.72,9.68,6.5,47.42,510.6
Vellore,Rural,Yes,0.7,10.38,5.55,46.6,704.5
Salem,Urban,Yes,4.21,4.6,6.11,18.36,925.2
Erode,Village,Yes,9.29,11.44,4.42,9.84,481.8
Cuddalore,Rural,No,4.87,13.48,5.43,7.71,532.4
Thanjavur,Rural,Yes,6.63,1.72,5.13,25.41,678.4
Karur,Village,Yes,2.67,6.61,4.79,4.58,534.4
Coimbatore,Village,Yes,7.95,13.63,7.56,48.05,639.5
Coimbatore,Village,Yes,8.56,11.62,2.55,12.37,723
Tirunelveli,Village,No,7.66,12.84,4.86,41.93,374.3
Erode,Urban,Yes,8.07,0.79,6.48,9.72,919.4
Vellore,Village,Yes,2.53,6.1,7.17,1.02,592.4
Thoothukudi,Urban,No,9.55,7.47,4.15,24.6,736.7
Salem,Urban,Yes,0.67,6.72,2.28,31.48,994.3
Salem,Urban,Yes,4.21,12.72,7.23,43.99,893.8
Salem,Urban,No,7.54,3.51,7.65,8.26,820.8
Thoothukudi,Village,Yes,4.42,8.74,4.18,38.18,483.4
Thanjavur,Urban,No,9.47,13.4,3.41,39.24,691.2
Salem,Rural,Yes,5.95,2.87,2.72,42.9,776.9
Cuddalore,Urban,Yes,9.41,7.65,3.33,40.73,789.1
Kanchipuram,Urban,Yes,7.73,9.85,1.3,43.92,1366.1
Erode,Urban,Yes,0.47,2.01,6.15,1,975.3
Namakkal,Rural,Yes,9.73,3.47,2.5,15.89,631.4
Madurai,Urban,Yes,3.17,11,5.16,21.38,1042.4
Tirunelveli,Rural,No,8.2,3.87,2.24,7.14,572.3
Karur,Village,Yes,2.28,11.46,4.39,8.33,455.8
Karur,Rural,Yes,0.3,4.11,4.19,14.17,648.4
Dindigul,Rural,Yes,9.5,9.52,1.13,28.44,645.7
Chennai,Rural,Yes,9.73,6.79,1.36,9.83,1232.8
